channelId,channelTitle,title,publishedAt,videoId,date
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/6 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-06T07:13:51Z,fCUizeurM54,2020-04-06
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/29 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-29T07:02:39Z,dTuC3L_bQU8,2020-02-29
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/20 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-20T06:26:24Z,J_nLGzCEuys,2021-02-20
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/1/22 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-01-22T07:10:00Z,fplx4U-r7VQ,2021-01-22
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/25 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-25T06:34:56Z,bOzexG52BJY,2020-05-25
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/14 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-14T06:21:53Z,B6IRetKibxA,2021-02-14
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/9 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-09T07:25:51Z,AwcE0Ba7F70,2020-03-09
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/1/31 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-01-31T12:05:34Z,JQOD0aPV2nQ,2020-01-31
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/6/17 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-06-17T07:02:52Z,21ZrN_Cz_l8,2020-06-17
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/4 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-04T07:35:34Z,5IdLndaC_NA,2020-02-04
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/27 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-27T06:46:21Z,QundlbdHOps,2020-05-27
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/11 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-11T07:14:24Z,IAiRfMCRYBQ,2020-05-11
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/17 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-17T06:37:14Z,xOo8SI3YFcQ,2021-02-17
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/8 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-08T06:35:57Z,aXPM9tjwbRQ,2020-05-08
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/3/8 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-03-08T06:42:38Z,fi_OPLuMn5M,2021-03-08
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/1/12 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-01-12T07:18:59Z,DXxIl0hRM1I,2021-01-12
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/12 15:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-12T08:18:06Z,aK05JGTqDM0,2020-03-12
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/18 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-18T07:00:53Z,06b1XoLXJwg,2020-05-18
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/20 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-20T06:36:39Z,eE20UvgAjtY,2020-05-20
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/15 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-15T07:06:04Z,lJTUBt3kXbY,2020-02-15
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/7 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-07T06:43:19Z,e5GFswteXKE,2020-05-07
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/1/17 15:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-01-17T08:10:58Z,LvGoNhe2lXw,2021-01-17
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/3 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-03T06:57:35Z,VodYVFu3sSc,2020-05-03
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/4 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-04T13:07:09Z,J4qD96gt31w,2020-02-04
